iter	Passed	Remaining
0	22	11406
1	42	10481
2	61	10165
3	81	10064
4	103	10232
5	128	10551
6	149	10501
7	168	10375
8	189	10323
9	208	10194
10	229	10188
11	247	10077
12	267	10026
13	288	9998
14	307	9926
15	327	9899
16	346	9836
17	365	9774
18	385	9768
19	405	9720
20	427	9743
21	446	9705
22	466	9671
23	486	9650
24	506	9614
25	526	9591
26	550	9647
27	576	9726
28	597	9705
29	608	9538
30	632	9573
31	657	9614
32	680	9623
33	703	9648
34	727	9668
35	750	9677
36	771	9659
37	790	9615
38	810	9579
39	829	9542
40	850	9524
41	871	9506
42	892	9484
43	913	9472
44	935	9458
45	954	9423
46	974	9389
47	996	9383
48	1017	9364
49	1037	9340
50	1059	9329
51	1080	9309
52	1115	9409
53	1142	9435
54	1165	9433
55	1192	9453
56	1220	9483
57	1246	9500
58	1271	9506
59	1293	9484
60	1316	9471
61	1338	9452
62	1356	9411
63	1376	9377
64	1396	9346
65	1417	9320
66	1436	9284
67	1457	9257
68	1476	9224
69	1494	9180
70	1517	9166
71	1535	9129
72	1557	9108
73	1577	9083
74	1597	9054
75	1617	9021
76	1639	9004
77	1658	8974
78	1680	8957
79	1701	8931
80	1728	8940
81	1759	8967
82	1785	8968
83	1808	8958
84	1831	8940
85	1857	8942
