iter	Passed	Remaining
0	7	7200
1	12	6127
2	16	5491
3	21	5259
4	25	4996
5	29	4847
6	33	4741
7	37	4652
8	41	4578
9	45	4488
10	49	4462
11	54	4449
12	58	4406
13	61	4366
14	65	4303
15	69	4268
16	72	4208
17	76	4183
18	80	4161
19	85	4166
20	88	4143
21	92	4110
22	96	4102
23	100	4077
24	104	4066
25	108	4046
26	112	4050
27	116	4057
28	120	4039
29	124	4011
30	127	3983
31	131	3967
32	135	3959
33	138	3940
34	142	3920
35	146	3915
36	150	3927
37	155	3936
38	160	3943
39	164	3959
40	169	3961
41	174	3970
42	178	3974
43	183	3982
44	188	3992
45	192	3996
46	196	3992
47	201	3997
48	206	4003
49	210	4004
50	214	3993
51	218	3987
52	223	3992
53	227	3990
54	231	3984
55	236	3985
56	240	3976
57	244	3965
58	248	3957
59	252	3958
60	257	3959
61	260	3945
62	265	3943
63	268	3933
64	272	3925
65	276	3912
66	280	3902
67	284	3895
68	287	3878
69	291	3871
70	295	3864
71	299	3857
72	303	3851
73	306	3839
74	311	3837
75	315	3833
76	319	3831
77	323	3825
78	327	3818
79	331	3812
80	335	3806
81	339	3796
82	342	3786
83	346	3779
84	349	3765
85	353	3759
86	358	3760
87	361	3750
88	365	3745
89	369	3738
90	373	3734
91	377	3727
92	381	3720
93	385	3711
94	389	3710
95	393	3706
96	397	3696
97	401	3695
98	405	3690
99	409	3685
100	413	3678
101	416	3670
102	421	3671
103	425	3670
104	429	3665
105	433	3659
106	437	3650
107	441	3644
108	444	3632
109	448	3625
110	451	3619
111	455	3612
112	459	3604
113	462	3596
114	467	3594
115	470	3588
116	474	3583
117	478	3575
118	482	3571
119	486	3565
120	489	3557
121	493	3548
122	496	3542
123	500	3535
124	504	3530
125	508	3525
126	512	3520
127	516	3517
128	520	3512
129	524	3507
130	528	3502
131	531	3496
132	535	3490
133	539	3485
134	543	3482
135	547	3477
136	551	3473
137	555	3468
138	558	3459
139	562	3455
140	565	3446
141	569	3443
142	573	3439
143	577	3434
144	581	3426
145	585	3422
146	589	3418
147	592	3412
148	596	3405
149	599	3399
150	603	3395
151	607	3391
152	611	3387
153	616	3385
154	621	3385
155	625	3382
156	629	3381
157	633	3377
158	638	3376
159	642	3372
160	646	3368
161	650	3365
162	654	3363
163	659	3360
164	663	3357
165	667	3353
166	671	3349
167	675	3344
168	679	3339
169	683	3334
170	687	3331
171	691	3328
172	695	3326
173	700	3324
174	704	3321
175	708	3317
176	713	3316
177	717	3312
178	721	3307
179	725	3306
180	730	3303
181	734	3301
182	738	3297
183	742	3293
184	746	3289
185	750	3283
186	754	3280
187	758	3277
188	762	3271
189	766	3266
190	770	3263
191	774	3259
192	779	3257
193	783	3254
194	787	3250
195	791	3248
196	795	3242
197	799	3238
198	803	3234
199	808	3233
200	812	3229
201	816	3225
202	820	3221
203	824	3218
204	828	3214
205	833	3212
206	836	3206
207	841	3203
208	845	3200
209	850	3198
210	854	3195
211	858	3192
212	863	3189
213	867	3185
214	871	3181
215	875	3179
216	880	3175
217	884	3172
218	888	3167
219	892	3165
220	897	3162
221	901	3157
222	904	3152
223	909	3150
224	913	3146
225	917	3141
226	921	3137
227	925	3132
228	929	3127
229	932	3122
230	936	3118
231	940	3113
232	944	3108
233	949	3107
234	953	3105
235	959	3105
236	964	3105
237	969	3105
238	975	3104
239	980	3104
240	984	3102
241	989	3098
242	993	3096
243	998	3093
244	1002	3090
245	1006	3086
246	1011	3082
247	1015	3079
248	1019	3074
249	1023	3071
250	1028	3069
251	1032	3064
252	1036	3060
253	1041	3058
254	1045	3054
255	1049	3050
256	1053	3045
257	1057	3042
258	1062	3038
259	1065	3033
