iter	Passed	Remaining
0	0	223
1	0	217
2	0	195
3	0	184
4	1	177
5	1	169
6	1	164
7	1	158
8	1	155
9	2	152
10	2	150
11	2	147
12	2	146
13	2	144
14	2	146
15	3	150
16	3	156
17	3	158
18	4	159
19	4	161
20	4	162
21	4	162
22	5	161
23	5	162
24	5	161
25	5	161
26	6	161
27	6	161
28	6	161
29	6	161
30	6	161
31	7	161
32	7	161
33	7	161
34	7	160
35	8	160
36	8	161
37	8	161
38	8	161
39	9	161
40	9	160
41	9	159
42	9	159
43	9	158
44	10	158
45	10	157
46	10	158
47	10	157
48	11	157
49	11	157
50	11	157
51	11	156
52	11	156
53	12	156
54	12	157
55	12	157
56	12	157
57	13	157
58	13	158
59	13	158
60	14	158
61	14	158
62	14	158
63	14	158
64	14	157
65	15	157
66	15	157
67	15	156
68	15	156
69	16	156
70	16	156
71	16	155
72	16	155
73	16	155
74	17	154
75	17	154
76	17	154
77	17	153
78	18	153
79	18	154
80	18	154
81	18	154
82	19	154
83	19	153
84	19	152
85	19	152
86	20	152
87	20	152
88	20	152
89	20	152
90	21	152
91	21	152
92	21	151
93	21	152
94	22	151
95	22	151
96	22	151
97	22	151
98	23	151
99	23	151
100	23	150
101	23	150
102	23	149
103	24	149
104	24	148
105	24	148
106	24	147
107	24	147
108	25	147
109	25	146
110	25	146
111	25	146
112	25	145
113	26	145
114	26	145
115	26	144
116	26	144
117	26	143
118	27	143
119	27	143
120	27	142
121	27	142
122	27	141
123	27	141
124	28	141
125	28	140
126	28	140
127	28	140
128	29	140
129	29	139
130	29	139
131	29	138
132	29	138
133	29	137
134	30	137
135	30	137
136	30	137
137	30	136
138	31	136
139	31	136
140	31	135
141	31	135
142	31	134
143	31	134
144	32	133
145	32	133
146	32	133
147	32	132
148	32	132
149	32	131
150	33	131
151	33	130
152	33	130
153	33	130
154	33	129
155	33	129
156	34	128
157	34	128
158	34	127
159	34	127
160	34	127
161	34	126
162	35	126
163	35	125
164	35	125
165	35	125
166	35	124
167	35	124
168	36	124
169	36	124
170	36	123
171	36	123
172	36	123
173	37	122
174	37	122
175	37	122
176	37	121
177	37	121
178	37	121
179	38	120
180	38	120
181	38	120
182	38	119
183	38	119
184	38	118
185	39	118
186	39	118
187	39	117
188	39	117
189	39	117
190	39	116
191	40	116
192	40	116
193	40	115
194	40	115
195	40	115
196	40	115
197	41	115
198	41	114
199	41	114
200	41	114
201	41	113
202	42	113
203	42	113
204	42	113
205	42	112
206	42	112
207	43	112
208	43	111
209	43	111
210	43	111
211	43	110
212	43	110
213	44	110
214	44	110
215	44	109
216	44	109
217	44	109
218	44	108
219	45	108
220	45	108
221	45	107
222	45	107
223	45	107
224	45	106
225	45	106
226	46	106
227	46	106
228	46	105
229	46	105
230	46	105
231	46	104
232	47	104
233	47	104
234	47	103
235	47	103
236	47	103
237	48	103
238	48	103
239	48	103
240	48	102
241	48	102
242	48	102
243	49	101
244	49	101
245	49	101
246	49	101
247	49	100
248	50	100
249	50	100
250	50	100
251	50	99
252	50	99
253	50	99
254	50	98
255	51	98
256	51	98
257	51	98
258	51	97
259	51	97
260	51	97
261	52	97
262	52	96
263	52	96
264	52	96
265	52	96
266	52	95
267	53	95
268	53	95
269	53	95
270	53	95
271	53	94
272	54	94
273	54	94
274	54	94
275	54	94
276	55	94
277	55	93
278	55	93
279	55	93
280	55	93
281	56	93
282	56	93
283	56	92
284	56	92
285	56	92
286	57	92
287	57	91
288	57	91
289	57	91
290	57	91
291	58	90
292	58	90
293	58	90
294	58	90
295	58	89
296	58	89
297	58	89
298	59	89
299	59	89
300	59	88
301	59	88
302	59	88
303	60	88
304	60	88
305	60	87
306	60	87
307	60	87
308	61	87
309	61	86
310	61	86
311	61	86
312	61	86
313	61	85
314	62	85
315	62	85
316	62	85
317	62	85
318	62	84
319	62	84
320	63	84
321	63	84
322	63	83
323	63	83
324	63	83
325	63	83
326	64	82
327	64	82
328	64	82
329	64	82
330	64	81
331	64	81
332	64	81
333	65	81
334	65	80
335	65	80
336	65	80
337	66	80
338	66	80
339	66	80
340	66	79
341	66	79
342	67	79
343	67	79
344	67	79
345	67	78
346	67	78
347	68	78
348	68	78
349	68	78
350	68	77
351	68	77
352	68	77
353	69	77
354	69	77
355	69	76
356	69	76
357	69	76
358	69	76
359	70	75
360	70	75
361	70	75
362	70	75
363	70	74
364	70	74
365	71	74
366	71	74
367	71	74
368	71	74
369	71	73
370	72	73
371	72	73
372	72	73
373	72	72
374	72	72
375	72	72
376	73	72
377	73	72
378	73	71
379	73	71
380	73	71
381	73	71
382	74	71
383	74	70
384	74	70
385	74	70
386	74	70
387	74	69
388	75	69
389	75	69
390	75	69
391	75	69
392	75	68
393	75	68
394	76	68
395	76	68
396	76	67
397	76	67
398	76	67
399	76	67
400	76	67
401	77	66
402	77	66
403	77	66
404	77	66
405	77	66
406	78	65
407	78	65
408	78	65
409	78	65
410	78	65
411	78	64
412	79	64
413	79	64
414	79	64
415	79	63
416	79	63
417	80	63
418	80	63
419	80	63
420	80	63
421	80	62
422	81	62
423	81	62
424	81	62
425	81	62
426	81	61
427	81	61
428	82	61
429	82	61
430	82	60
431	82	60
432	82	60
433	82	60
434	82	60
435	83	59
436	83	59
437	83	59
438	83	59
439	84	59
440	84	59
441	84	58
442	84	58
443	84	58
444	84	58
445	85	57
446	85	57
447	85	57
448	85	57
449	85	57
450	85	56
451	86	56
452	86	56
453	86	56
454	86	56
455	86	55
456	86	55
457	86	55
458	87	55
459	87	55
460	87	54
461	87	54
462	87	54
463	87	54
464	88	53
465	88	53
466	88	53
467	88	53
468	88	53
469	88	52
470	89	52
471	89	52
472	89	52
473	89	52
474	89	52
475	90	51
476	90	51
477	90	51
478	90	51
479	90	51
480	91	50
481	91	50
482	91	50
483	91	50
484	91	50
485	91	49
486	91	49
487	92	49
488	92	49
489	92	49
490	92	48
491	92	48
492	92	48
493	93	48
494	93	48
495	93	47
496	93	47
497	93	47
498	93	47
499	94	47
500	94	46
501	94	46
502	94	46
503	94	46
504	94	46
505	95	45
506	95	45
507	95	45
508	95	45
509	95	45
510	96	44
511	96	44
512	96	44
513	96	44
514	96	44
515	97	43
516	97	43
517	97	43
518	97	43
519	97	43
520	97	42
521	97	42
522	98	42
523	98	42
524	98	42
525	98	42
526	98	41
527	98	41
528	99	41
529	99	41
530	99	41
531	99	40
532	99	40
533	99	40
534	100	40
535	100	40
536	100	39
537	100	39
538	100	39
539	100	39
540	101	39
541	101	38
542	101	38
543	101	38
544	101	38
545	102	38
546	102	37
547	102	37
548	102	37
549	102	37
550	102	37
551	103	36
552	103	36
553	103	36
554	103	36
555	103	36
556	103	36
557	104	35
558	104	35
559	104	35
560	104	35
561	104	35
562	104	34
563	105	34
564	105	34
565	105	34
566	105	34
567	105	33
568	105	33
569	106	33
570	106	33
571	106	33
572	106	32
573	106	32
574	106	32
575	107	32
576	107	32
577	107	32
578	107	31
579	107	31
580	108	31
581	108	31
582	108	31
583	108	30
584	108	30
585	109	30
586	109	30
587	109	30
588	109	29
589	109	29
590	109	29
591	110	29
592	110	29
593	110	28
594	110	28
595	110	28
596	110	28
597	110	28
598	111	28
599	111	27
600	111	27
601	111	27
602	111	27
603	111	27
604	112	26
605	112	26
606	112	26
607	112	26
608	112	26
609	112	25
610	113	25
611	113	25
612	113	25
613	113	25
614	113	25
615	114	24
616	114	24
617	114	24
618	114	24
619	114	24
620	114	23
621	115	23
622	115	23
623	115	23
624	115	23
625	115	22
626	116	22
627	116	22
628	116	22
629	116	22
630	116	22
631	117	21
632	117	21
633	117	21
634	117	21
635	117	21
636	117	20
637	118	20
638	118	20
639	118	20
640	118	20
641	118	19
642	118	19
643	119	19
644	119	19
645	119	19
646	119	19
647	120	18
648	120	18
649	120	18
650	120	18
651	120	18
652	120	17
653	121	17
654	121	17
655	121	17
656	121	17
657	121	17
658	121	16
659	122	16
660	122	16
661	122	16
662	122	16
663	122	15
664	122	15
665	123	15
666	123	15
667	123	15
668	123	14
669	123	14
670	123	14
671	123	14
672	124	14
673	124	14
674	124	13
675	124	13
676	124	13
677	125	13
678	125	13
679	125	12
680	125	12
681	125	12
682	126	12
683	126	12
684	126	11
685	126	11
686	126	11
687	126	11
688	127	11
689	127	11
690	127	10
691	127	10
692	127	10
693	127	10
694	128	10
695	128	9
696	128	9
697	128	9
698	128	9
699	128	9
700	129	9
701	129	8
702	129	8
703	129	8
704	129	8
705	129	8
706	129	7
707	130	7
708	130	7
709	130	7
710	130	7
711	130	6
712	131	6
713	131	6
714	131	6
715	131	6
716	131	6
717	131	5
718	132	5
719	132	5
720	132	5
721	132	5
722	132	4
723	133	4
724	133	4
725	133	4
726	133	4
727	133	4
728	133	3
729	134	3
730	134	3
731	134	3
732	134	3
733	134	2
734	134	2
735	135	2
736	135	2
737	135	2
738	135	2
739	135	1
740	135	1
741	136	1
742	136	1
743	136	1
744	136	0
745	136	0
