iter	Passed	Remaining
0	251	251159
1	336	168057
2	423	140854
3	514	128126
4	606	120698
5	700	116128
6	792	112445
7	884	109640
8	976	107519
9	1069	105919
10	1160	104325
11	1251	103022
12	1344	102088
13	1435	101123
14	1528	100391
15	1622	99784
16	1716	99249
17	1806	98539
18	1897	97964
19	1988	97445
20	2078	96903
21	2169	96464
22	2263	96160
23	2357	95856
24	2449	95547
25	2542	95262
26	2632	94882
27	2726	94647
28	2819	94402
29	2914	94227
30	3012	94157
31	3106	93982
32	3198	93722
33	3291	93517
34	3380	93197
35	3473	93012
36	3566	92826
37	3661	92682
38	3761	92691
39	3851	92424
40	3941	92183
41	4031	91956
42	4122	91746
43	4210	91485
44	4304	91355
45	4394	91129
46	4484	90925
47	4574	90734
48	4664	90526
49	4754	90338
50	4847	90205
51	4938	90040
52	5029	89867
53	5120	89696
54	5211	89540
55	5303	89410
56	5398	89305
57	5489	89157
58	5581	89014
59	5673	88890
60	5764	88736
61	5857	88620
62	5953	88547
63	6044	88401
64	6135	88256
65	6224	88090
66	6317	87980
67	6409	87850
68	6507	87807
69	6599	87676
70	6690	87545
71	6783	87427
72	6877	87338
73	6971	87232
74	7062	87106
75	7153	86967
76	7242	86818
77	7335	86704
78	7427	86588
79	7522	86508
80	7613	86381
81	7706	86272
82	7798	86156
83	7891	86057
84	7984	85954
85	8077	85841
86	8168	85718
87	8260	85611
88	8355	85521
89	8447	85409
90	8546	85369
91	8649	85365
92	8746	85297
93	8840	85205
94	8941	85179
95	9042	85145
96	9142	85111
97	9243	85076
98	9336	84969
99	9434	84914
100	9538	84898
101	9641	84885
102	9744	84865
103	9843	84803
104	9944	84765
105	10039	84671
106	10138	84615
107	10233	84524
108	10326	84412
109	10420	84308
110	10515	84215
111	10610	84123
112	10707	84046
113	10808	84002
114	10908	83948
115	11001	83840
116	11089	83689
117	11177	83545
118	11278	83500
119	11372	83398
120	11465	83293
121	11559	83193
122	11654	83098
123	11744	82972
124	11844	82908
125	11938	82812
126	12042	82783
127	12139	82700
128	12238	82635
129	12333	82536
130	12429	82454
131	12526	82369
132	12622	82284
133	12715	82175
134	12805	82051
135	12898	81940
136	12991	81838
137	13082	81718
138	13172	81594
139	13260	81455
140	13353	81351
141	13445	81239
142	13535	81119
143	13628	81013
144	13720	80903
145	13811	80785
146	13902	80672
147	13994	80563
148	14085	80446
149	14176	80333
150	14265	80206
151	14362	80129
152	14465	80079
153	14562	79999
154	14662	79935
155	14760	79856
156	14854	79760
157	14951	79678
158	15050	79604
159	15149	79536
160	15244	79440
161	15340	79352
162	15439	79281
163	15541	79221
164	15631	79105
165	15719	78976
166	15810	78863
167	15902	78756
168	15990	78629
169	16079	78505
170	16173	78410
171	16269	78320
172	16359	78203
173	16449	78086
174	16543	77988
175	16632	77871
176	16725	77770
177	16825	77701
178	16923	77621
179	17020	77539
180	17118	77459
181	17214	77368
182	17308	77275
183	17403	77182
184	17501	77102
185	17601	77031
186	17697	76943
187	17796	76865
188	17887	76754
189	17979	76648
190	18077	76570
191	18172	76476
192	18265	76376
193	18365	76302
194	18474	76267
195	18591	76263
196	18689	76182
197	18800	76153
198	18904	76092
199	19006	76025
200	19114	75984
201	19213	75902
202	19310	75814
203	19407	75726
204	19501	75629
205	19595	75527
206	19692	75439
207	19786	75339
208	19875	75223
209	19967	75114
210	20061	75016
211	20154	74914
212	20255	74839
213	20353	74755
214	20449	74662
215	20548	74583
216	20640	74478
217	20733	74375
218	20828	74277
219	20927	74196
220	21031	74131
221	21132	74058
222	21231	73977
223	21331	73897
224	21429	73811
225	21526	73724
226	21622	73629
227	21717	73535
228	21815	73447
229	21908	73346
230	22001	73241
231	22093	73136
232	22185	73029
233	22278	72927
234	22378	72848
235	22480	72775
236	22582	72703
237	22681	72620
238	22776	72522
239	22873	72433
240	22972	72348
241	23070	72261
242	23170	72182
243	23268	72095
244	23371	72023
245	23468	71932
246	23567	71848
247	23666	71762
248	23758	71655
249	23851	71553
250	23948	71463
251	24040	71358
252	24136	71265
253	24233	71175
254	24328	71076
255	24423	70981
256	24529	70916
257	24634	70849
258	24741	70786
259	24842	70706
260	24951	70648
261	25047	70554
262	25146	70466
263	25253	70403
264	25352	70316
265	25444	70212
266	25539	70114
267	25632	70009
268	25725	69908
269	25818	69805
270	25908	69693
271	25995	69577
272	26085	69464
273	26176	69357
274	26265	69246
275	26355	69136
276	26443	69019
277	26533	68909
278	26623	68800
279	26714	68693
280	26802	68580
281	26892	68469
282	26980	68358
283	27070	68247
284	27158	68134
285	27247	68023
286	27334	67908
287	27421	67791
288	27511	67683
289	27602	67577
290	27691	67468
291	27782	67362
292	27870	67249
293	27957	67136
294	28046	67025
295	28136	66918
296	28227	66815
297	28316	66704
298	28405	66595
299	28496	66492
300	28584	66380
301	28675	66275
302	28767	66174
303	28855	66064
304	28946	65959
305	29048	65880
306	29139	65777
307	29226	65665
308	29316	65558
309	29405	65451
310	29494	65342
311	29581	65231
312	29669	65121
313	29762	65022
314	29864	64943
315	29962	64856
316	30060	64768
317	30157	64677
318	30254	64586
319	30351	64497
320	30446	64402
321	30541	64307
322	30637	64215
323	30735	64126
324	30831	64034
325	30924	63935
326	31015	63833
327	31107	63732
328	31204	63641
329	31304	63556
330	31405	63476
331	31504	63388
332	31602	63299
333	31700	63211
334	31798	63122
335	31897	63034
336	31990	62936
337	32087	62846
338	32186	62759
339	32285	62671
340	32389	62594
341	32488	62507
342	32587	62419
343	32682	62325
344	32778	62231
345	32878	62146
346	32974	62052
347	33066	61952
348	33158	61852
349	33249	61748
350	33343	61651
351	33439	61559
352	33534	61463
353	33631	61372
354	33721	61269
355	33814	61169
356	33908	61073
357	33998	60969
358	34088	60865
359	34180	60766
360	34274	60668
361	34367	60569
362	34465	60480
363	34559	60384
364	34652	60285
365	34741	60180
366	34831	60077
367	34923	59977
368	35017	59880
369	35109	59781
370	35199	59678
371	35289	59574
372	35379	59472
373	35472	59373
374	35564	59274
375	35657	59176
376	35750	59078
377	35845	58984
378	35940	58888
379	36031	58788
380	36127	58695
381	36219	58596
382	36311	58496
383	36402	58394
384	36494	58296
385	36586	58197
386	36678	58098
387	36768	57996
388	36860	57895
389	36951	57795
390	37040	57691
391	37133	57595
392	37222	57491
393	37311	57388
394	37402	57287
395	37491	57184
396	37580	57080
397	37670	56979
398	37762	56880
399	37854	56781
400	37947	56684
401	38039	56586
402	38133	56489
403	38226	56394
404	38319	56296
405	38410	56195
406	38502	56098
407	38596	56003
408	38693	55912
409	38783	55810
410	38874	55710
411	38968	55615
412	39060	55516
413	39165	55436
414	39268	55355
415	39360	55256
416	39449	55153
417	39537	55049
418	39629	54952
419	39718	54849
420	39809	54749
421	39899	54648
422	39990	54550
423	40085	54456
424	40175	54354
425	40268	54258
426	40357	54156
427	40447	54056
428	40537	53956
429	40627	53855
430	40717	53754
431	40811	53659
432	40901	53559
433	40996	53465
434	41086	53364
435	41174	53262
436	41263	53161
437	41356	53064
438	41446	52964
439	41535	52863
440	41628	52766
441	41720	52669
442	41814	52575
