iter	Logloss
0	0.6061414492
1	0.5493926949
2	0.5148895479
3	0.4839654595
4	0.4611768275
5	0.4482072725
6	0.4377643329
7	0.4301890067
8	0.4205050256
9	0.4085236991
10	0.400679102
11	0.3925169692
12	0.3833996925
13	0.378663467
14	0.3720496287
15	0.3655224195
16	0.3598419344
17	0.3549010619
18	0.3491242981
19	0.3463741574
20	0.3407010891
21	0.3333493856
22	0.3294208578
23	0.3289690018
24	0.3278387281
25	0.3274907603
26	0.3257940925
27	0.3240950649
28	0.3238453299
29	0.3166095901
30	0.3152345818
31	0.305789909
32	0.301660065
33	0.2980129353
34	0.2957603072
35	0.2897087464
36	0.2869179359
37	0.2850776628
38	0.2837648259
39	0.2825475649
40	0.2756552482
41	0.2734461232
42	0.2730067115
43	0.2699875605
44	0.2665682309
45	0.2644795402
46	0.2604617449
47	0.2563511492
48	0.254287219
49	0.252218247
50	0.2479349213
51	0.2467750601
52	0.2459547964
53	0.2444199338
54	0.2429935954
55	0.237039594
56	0.2323997772
57	0.2302916932
58	0.2288345815
59	0.2261194181
60	0.222913338
61	0.2204038127
62	0.2187207278
63	0.2153306029
64	0.2141379458
65	0.2132860555
66	0.2119446653
67	0.2095848326
68	0.2065484939
69	0.2062806062
70	0.2058533349
71	0.2057743394
72	0.2037033403
73	0.2023980183
74	0.200170143
75	0.2000476392
76	0.199953459
77	0.1992721191
78	0.1986124291
79	0.198509104
80	0.1964704915
81	0.1961081259
82	0.193131248
83	0.1918494391
84	0.1900514865
85	0.1869001787
86	0.1859372931
87	0.1844879363
88	0.1831214366
89	0.1815457203
90	0.1786423019
91	0.1774754974
92	0.1761686649
93	0.1748819623
94	0.1734961303
95	0.1728737456
96	0.1710224866
97	0.1699564993
98	0.169357532
99	0.1670121287
