iter	Passed	Remaining
0	0	87
1	1	75
2	2	71
3	2	71
4	3	71
5	4	73
6	5	73
7	6	71
8	6	70
9	7	68
10	8	66
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	60
17	13	59
18	13	57
19	14	56
20	14	55
21	15	54
22	15	53
23	16	53
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	18
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
