iter	RMSE
0	377.4039544
1	309.4211938
2	267.1905131
3	251.0575299
4	235.4560794
5	209.738983
6	198.6192003
7	177.1782164
8	170.5238511
9	166.2652394
10	150.8254751
11	146.8844255
12	143.7920351
13	141.3968014
14	126.8140307
15	121.5680448
16	118.1696124
17	116.3139646
18	113.5546863
19	112.0748389
20	107.3359986
21	106.023391
22	101.2131282
23	99.70535543
24	98.55289636
25	97.3128749
26	92.56414289
27	91.2023361
28	90.26033028
29	89.29016538
30	88.51892761
31	87.75123047
32	85.6925001
33	82.69946054
34	81.96429843
35	81.25525556
36	78.05255628
37	77.26106732
38	76.35217678
39	75.71861168
40	75.25080784
41	74.77305017
42	70.82697819
43	70.33705391
44	67.62769217
45	60.18861672
46	59.58517327
47	58.15050639
48	57.55887891
49	57.13948691
50	56.74631869
51	56.42757735
52	54.8968885
53	53.00509219
54	52.39794687
55	52.03498903
56	51.74446818
57	51.40668162
58	50.48835488
59	48.31804026
60	47.97493953
61	47.07650175
62	46.78802696
63	46.51847471
64	46.26158824
65	44.98502616
66	44.15208762
67	43.93775002
68	42.83327233
69	42.59167897
70	41.75101671
71	41.55194181
72	41.30688824
73	41.10384514
74	39.385725
75	37.31831435
76	37.04924516
77	36.82012215
78	36.61160231
79	36.44223877
80	35.91758637
81	33.36178902
82	33.14136753
83	32.96487231
84	32.78143114
85	31.77325121
86	31.02793652
87	30.48540074
88	30.31963837
89	30.12820496
90	29.95661184
91	29.40633116
92	29.26305697
93	27.79132143
94	27.60479477
95	27.45006081
96	26.96056379
97	26.8139619
98	26.60483719
99	26.24967947
100	26.12436855
101	26.00347648
102	25.88253447
103	24.81377648
104	24.69728772
105	24.59241493
106	23.77968533
107	23.6671162
108	23.58927053
109	23.22219718
110	21.93330416
111	21.52411949
112	21.39183604
113	21.2849076
114	21.18689255
115	20.80737221
116	20.28806263
117	19.80053364
118	19.25676953
119	19.14715815
120	19.06016885
121	18.82836657
122	18.73521049
123	18.49478844
124	18.41523433
125	18.11528628
126	18.0369995
127	17.73828904
128	17.65206154
129	17.58586965
130	17.51068616
131	16.68575783
132	16.6100537
133	16.06228991
134	15.72946836
135	15.64341023
136	15.57279793
137	15.33111742
138	15.25891332
139	14.96603849
140	14.90584787
141	14.83932291
142	14.34684191
143	14.20390791
144	14.14052123
145	14.08238762
146	13.65537541
147	13.5920821
148	12.93793522
149	12.56987878
