iter	Passed	Remaining
0	2	1080
1	4	1075
2	6	1028
3	8	1028
4	10	1002
5	11	984
6	14	990
7	15	981
8	18	982
9	20	981
10	21	974
11	23	964
12	25	953
13	27	945
14	29	940
15	30	931
16	32	923
17	34	923
18	36	916
19	38	913
20	39	910
21	41	905
22	43	903
23	45	900
24	47	899
25	49	896
26	50	892
27	52	887
28	54	885
29	56	880
30	58	879
31	59	875
32	61	872
33	63	869
34	65	868
35	67	864
36	68	862
37	70	858
38	72	854
39	74	852
40	75	850
41	77	848
42	80	850
43	81	849
44	83	846
45	85	843
46	87	842
47	89	840
48	91	840
49	93	840
50	95	838
51	96	835
52	98	833
53	100	830
54	102	827
55	103	824
56	105	823
57	107	821
58	109	820
59	111	819
60	113	816
61	115	815
62	117	813
63	119	812
64	121	810
65	122	807
66	124	806
67	126	804
68	128	802
69	130	802
70	132	800
71	134	799
72	136	797
73	138	795
74	140	793
75	141	791
76	143	790
77	145	788
78	147	785
79	149	783
80	150	781
81	152	778
82	154	776
83	156	773
84	157	770
85	159	768
86	161	766
87	163	764
88	164	761
89	166	759
90	168	757
91	170	755
92	172	753
93	173	750
94	175	749
95	177	747
96	179	745
97	181	743
98	183	742
99	185	740
100	186	738
101	188	737
102	190	735
103	192	733
104	194	731
105	196	729
106	198	728
107	200	727
108	202	726
109	204	724
110	206	722
111	208	721
112	210	719
113	212	718
114	214	716
115	216	715
116	218	713
117	219	712
118	221	710
119	223	708
120	225	707
121	227	706
122	230	705
123	232	705
124	234	704
125	237	704
126	239	703
127	241	703
128	244	702
129	246	700
130	248	700
131	250	699
132	252	697
133	254	696
134	256	694
135	258	692
136	260	690
137	262	688
138	264	686
139	266	684
140	268	684
141	271	683
142	273	682
143	275	680
144	277	678
145	279	676
146	280	674
147	282	672
148	284	670
149	286	668
150	288	666
151	290	664
152	292	662
153	293	660
154	295	658
155	297	656
156	299	654
157	301	652
158	303	650
159	305	648
160	306	646
161	308	644
162	311	643
163	314	643
164	316	642
165	318	641
166	321	640
167	323	639
168	325	638
169	327	636
170	329	634
171	331	632
172	349	661
173	351	659
174	354	657
175	356	656
176	358	654
177	360	652
178	362	650
179	364	648
180	366	646
181	368	644
182	370	642
183	372	640
184	374	637
185	376	635
186	378	633
187	380	630
188	382	628
189	384	627
190	386	625
191	388	622
192	390	620
193	392	618
194	394	616
195	396	614
196	397	612
197	399	609
198	401	607
199	403	605
200	405	603
201	407	601
202	409	599
203	411	596
204	413	594
205	414	592
206	416	590
207	418	587
208	420	585
209	422	583
210	424	581
211	426	579
212	428	577
213	430	575
214	432	573
215	434	571
216	436	569
217	438	567
218	440	565
219	442	563
220	444	561
221	446	559
222	448	557
223	450	554
224	452	552
225	454	550
226	456	548
227	458	546
228	460	544
229	462	542
230	464	540
231	466	538
232	467	536
233	469	534
234	472	532
235	475	531
236	477	529
237	479	527
238	481	525
239	483	523
240	485	521
241	486	519
242	488	516
243	490	514
244	492	512
245	494	510
246	496	508
247	498	506
248	499	503
249	501	501
250	503	499
251	505	497
252	507	495
253	508	492
254	510	490
255	512	488
256	514	486
257	516	484
258	518	482
259	520	480
260	522	478
261	523	475
262	525	473
263	527	471
264	529	469
265	531	467
266	533	465
267	535	463
268	536	461
269	538	458
270	540	457
271	542	454
272	544	452
273	546	450
274	548	448
275	549	446
276	551	444
277	553	442
278	555	439
279	557	437
280	559	435
281	561	433
282	563	431
283	565	429
284	566	427
285	568	425
286	570	423
287	572	421
288	574	419
289	576	417
290	578	415
291	579	413
292	581	410
293	583	408
294	585	406
295	587	404
296	589	402
297	591	400
298	592	398
299	594	396
300	596	394
301	598	392
302	600	390
303	602	388
304	604	386
305	605	384
306	607	382
307	609	379
308	611	377
309	613	375
310	615	374
311	617	372
312	619	370
313	621	368
314	623	366
315	625	364
316	627	362
317	628	359
318	630	357
319	632	355
320	634	353
321	636	351
322	638	349
323	641	348
324	643	346
325	646	345
326	649	343
327	652	341
328	654	340
329	657	338
330	661	337
331	663	335
332	666	334
333	668	332
334	671	330
335	674	329
336	677	327
337	679	325
338	682	324
339	684	322
340	686	320
341	688	318
342	690	316
343	692	314
344	694	312
345	696	310
346	698	308
347	701	306
348	703	304
349	705	302
350	707	300
351	709	298
352	710	296
353	712	293
354	714	291
355	716	289
356	718	287
357	720	285
358	722	283
359	724	281
360	726	279
361	727	277
362	730	275
363	732	273
364	734	271
365	736	269
366	737	267
367	739	265
368	741	263
369	743	261
370	745	259
371	747	257
372	749	255
373	751	253
374	752	250
375	754	248
376	756	246
377	758	244
378	760	242
379	762	240
380	764	238
381	766	236
382	768	234
383	770	232
384	771	230
385	773	228
386	775	226
387	777	224
388	779	222
389	780	220
390	782	218
391	784	216
392	786	214
393	788	212
394	790	210
395	792	208
396	794	206
397	795	203
398	797	201
399	799	199
400	800	197
401	802	195
402	804	193
403	806	191
404	808	189
405	810	187
406	811	185
407	813	183
408	815	181
409	817	179
410	819	177
411	821	175
412	823	173
413	824	171
414	826	169
415	828	167
416	830	165
417	831	163
418	833	161
419	835	159
420	837	157
421	839	155
422	841	153
423	843	151
424	845	149
425	847	147
426	849	145
427	851	143
428	853	141
429	855	139
430	857	137
431	859	135
432	861	133
433	863	131
434	865	129
435	867	127
436	869	125
437	871	123
438	872	121
439	875	119
440	877	117
441	878	115
442	881	113
443	883	111
444	885	109
445	887	107
446	889	105
447	892	103
448	894	101
449	896	99
450	898	97
451	900	95
452	902	93
453	904	91
454	906	89
455	907	87
456	909	85
457	911	83
458	913	81
459	915	79
460	917	77
461	918	75
462	920	73
463	922	71
464	924	69
465	926	67
466	928	65
467	930	63
468	931	61
469	933	59
470	935	57
471	937	55
472	939	53
473	940	51
474	942	49
475	944	47
476	946	45
477	948	43
478	950	41
479	951	39
480	953	37
481	955	35
482	957	33
483	959	31
484	960	29
485	962	27
486	964	25
487	966	23
488	968	21
489	969	19
490	971	17
491	973	15
492	975	13
493	977	11
494	979	9
495	980	7
496	982	5
497	984	3
498	985	1
499	987	0
